codigo_acceso,nombre_acceso,id_acceso
61410,C001|21 Ángeles A - 3,1
61413,C004|21 Ángeles A - 2,2
61438,C029|Puentelargo A - 3,3
61441,C032|Puentelargo A - 2,4
61523,D054|Polo C - 2 ó 5,5
71386,BD-019A|K7 - CL73 S/N A,6
71439,BD-050A_SU|CL72 - K10,7
71471,BD-051A_SU|CL76 - K11,8
71474,191B03_SUB|Av Suba - K110A,9
71475,193B03|Av Suba - K114D,10
71476,195B03_SUB|Av Suba - K110A.,11
71705,BD-047A01|K11 - CL78,12
73636,BD-081A00|AC85 - KR16A,13
73637,BD-281A00|AC85 - AK11,14
73653,PA73653|Polo B -7,15
71722,BD-A040A11|ESCUELA ARTILLERIA N-S,16
73763,BD-066A|CL67D Sur - Av Caracas,17
73764,009A12 |Av. Caracas - CL65 Sur,18
73765,BD-011A12|Av. Caracas - CL67A Bis Sur,19
53253,010B12_TM|010B12_C.C. Altavista,20
61828,H057|Consuelo B - 4,21
61926,L001|Bicentenario A - 3 ó 6,22
61976,L051|Av. 1º de Mayo B - 3,23
61985,L060|San Diego B - 4 ó 6,24
61992,L067|San Victorino C - 4 ó 6,25
71721,BD-A007A12|ESCUELA ARTILLERIA S-N,26
61942,L017|Country Sur A - 2 ó 5,27
61973,L048|PORTAL 20 DE JULIO T10,28
61981,L056|Av. 1º de Mayo B - 2 ó 5,29
71409,BD-016A|K7- CL66 N/S A,30
71412,BD-010A|K7 - CL51,31
71413,BD-008A|K7 - CL45,32
71414,BD-006A|K7 - CL40 N/S A,33
71415,BD-004A|K7 - CL36,34
71416,BD-002A|K7 - CL33,35
71424,Mus B-1|Museo Nacional B - 1 ó 5,36
73077,BD-012B|K7 - CL56 N/S B,37
73078,BD-014B|K7 - CL61 N/S B,38
73080,BD-018A|K7 - CL71 N/S A,39
0,(Unknown),40
71377,BD-001A|K7 - CL34,41
71378,BD-003A|K7 - CL37,42
71379,BD-005A|K7 - CL40 S/N A,43
71380,BD-007A|K7  -  CL45,44
71381,BD-009A|K7 - CL50,45
71382,BD-011A|K7 - CL57,46
71383,BD-013A|K7 - CL61,47
71384,BD-015A|K7 - CL66,48
72406,146A04|AC80 - K107,49
72410,BD-144A04|AC80 - K109A,50
72411,140A04|AC80 - K111C,51
72412,137A04|AC80 - K114,52
73074,BD-017A|K7 - CL70A S/N A,53
73411,PA73411|Cra. 47 A - 4 ó 6,54
73569,PA73569|Polo B - 4 ó 6,55
73766,PA13720|Av. 68 B - 3,56
61935,L010|Bicentenario A - 1 ó 5,57
61996,L071|San Victorino B - 2 ó 5,58
72404,BD-396A04|AC80 - K119,59
72407,PA72407|AC 80 - K106,60
72413,PA72413|AC 80 - K114,61
72414,PA72414|AC 80 - K112A,62
72415,PA72415|AC 80 - K110,63
73412,PA73412|Cra. 47 A - 2 ó 5,64
73638,BD-282A00|AC85 - KR13,65
73767,PA13719|Av. 68 B - 1,66
61934,L009|Bicentenario B - 2 ó 5,67
61941,L016|Country Sur B - 1 ó 5,68
61971,L046|PORTAL 20 DE JULIO T8,69
61983,L058|Av. 1º de Mayo A - 2 ó 5,70
61987,L062|San Diego A - 2 ó 5,71
71506,BD-049A01|K7  -  CL101,72
71507,BD-038A|K7  -  CL94,73
71508,BD-036A|K7 - CL90,74
71596,BD-037A00_|K7 - CL92,75
71597,BD-039A00_|K7 - CL94,76
71598,BD-041A01_|K7 - CL100,77
71675,BD-031A01|K7 - CL78,78
71676,BD-052A01|K7 - CL106,79
71678,BD-053A01|K7 - CL110,80
71681,BD-055A01|K7 - CL116,81
71683,BD-057A01|K7 - CL119B,82
71684,BD-059A01|K7 - CL124,83
71686,BD-061A01|K7 - CL127B,84
71688,BD-063A01|K7 - CL130,85
71690,BD-065A01|CL134 - K7,86
71692,BD-064A01|K7 - CL132,87
71694,BD-062A01|K7  -  CL127B,88
71696,BD-060A01|K7  -  CL124,89
71697,BD-058B|K7 - CL118 N/S B,90
71701,BD-054A01|K7  -  CL110,91
71702,BD-040A01|K7 - CL97A,92
71704,BD-030A|K7 - CL79,93
