Fase,Línea,Estación,Acceso de Estación,Intervalo,fecha_str,total_validaciones,fecha,codigo_fase,nombre_fase,codigo_linea,nombre_linea,codigo_estacion,nombre_estacion,codigo_acceso,nombre_acceso,hora_inicio,hora_fin,intervalo_texto,franja_horaria,dia,mes,nombre_mes,anio,dia_semana,nombre_dia,fin_semana
Total general,Total general,Total general,Total general,Total general,2024-04-01 00:00:00,1953691,2024-04-01,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,1,4,Abril,2024,1,Lunes,0
Total general,Total general,Total general,Total general,Total general,2024-04-02 00:00:00,2044435,2024-04-02,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,2,4,Abril,2024,2,Martes,0
Total general,Total general,Total general,Total general,Total general,2024-04-03 00:00:00,2057331,2024-04-03,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,3,4,Abril,2024,3,Miércoles,0
Total general,Total general,Total general,Total general,Total general,2024-04-04 00:00:00,2027888,2024-04-04,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,4,4,Abril,2024,4,Jueves,0
Total general,Total general,Total general,Total general,Total general,2024-04-05 00:00:00,2033012,2024-04-05,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,5,4,Abril,2024,5,Viernes,1
Total general,Total general,Total general,Total general,Total general,2024-04-06 00:00:00,1360627,2024-04-06,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,6,4,Abril,2024,6,Sábado,1
Total general,Total general,Total general,Total general,Total general,2024-04-07 00:00:00,592830,2024-04-07,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,7,4,Abril,2024,7,Domingo,1
Total general,Total general,Total general,Total general,Total general,2024-04-08 00:00:00,1975920,2024-04-08,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,8,4,Abril,2024,1,Lunes,0
Total general,Total general,Total general,Total general,Total general,2024-04-09 00:00:00,2019332,2024-04-09,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,9,4,Abril,2024,2,Martes,0
Total general,Total general,Total general,Total general,Total general,2024-04-10 00:00:00,2022307,2024-04-10,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,10,4,Abril,2024,3,Miércoles,0
Total general,Total general,Total general,Total general,Total general,2024-04-11 00:00:00,1864926,2024-04-11,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,11,4,Abril,2024,4,Jueves,0
Total general,Total general,Total general,Total general,Total general,2024-04-12 00:00:00,1985656,2024-04-12,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,12,4,Abril,2024,5,Viernes,1
Total general,Total general,Total general,Total general,Total general,2024-04-13 00:00:00,1313443,2024-04-13,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,13,4,Abril,2024,6,Sábado,1
Total general,Total general,Total general,Total general,Total general,2024-04-14 00:00:00,595913,2024-04-14,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,14,4,Abril,2024,7,Domingo,1
Total general,Total general,Total general,Total general,Total general,2024-04-15 00:00:00,1978628,2024-04-15,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,15,4,Abril,2024,1,Lunes,0
Total general,Total general,Total general,Total general,Total general,2024-04-16 00:00:00,2036819,2024-04-16,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,16,4,Abril,2024,2,Martes,0
Total general,Total general,Total general,Total general,Total general,2024-04-17 00:00:00,2026528,2024-04-17,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,17,4,Abril,2024,3,Miércoles,0
Total general,Total general,Total general,Total general,Total general,2024-04-18 00:00:00,1924036,2024-04-18,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,18,4,Abril,2024,4,Jueves,0
Total general,Total general,Total general,Total general,Total general,2024-04-19 00:00:00,1858206,2024-04-19,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,19,4,Abril,2024,5,Viernes,1
Total general,Total general,Total general,Total general,Total general,2024-04-20 00:00:00,1339203,2024-04-20,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,20,4,Abril,2024,6,Sábado,1
Total general,Total general,Total general,Total general,Total general,2024-04-21 00:00:00,676766,2024-04-21,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,21,4,Abril,2024,7,Domingo,1
Total general,Total general,Total general,Total general,Total general,2024-04-22 00:00:00,1959525,2024-04-22,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,22,4,Abril,2024,1,Lunes,0
Total general,Total general,Total general,Total general,Total general,2024-04-23 00:00:00,1988924,2024-04-23,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,23,4,Abril,2024,2,Martes,0
Total general,Total general,Total general,Total general,Total general,2024-04-24 00:00:00,2007607,2024-04-24,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,24,4,Abril,2024,3,Miércoles,0
Total general,Total general,Total general,Total general,Total general,2024-04-25 00:00:00,1978278,2024-04-25,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,25,4,Abril,2024,4,Jueves,0
Total general,Total general,Total general,Total general,Total general,2024-04-26 00:00:00,1960632,2024-04-26,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,26,4,Abril,2024,5,Viernes,1
Total general,Total general,Total general,Total general,Total general,2024-04-27 00:00:00,1327795,2024-04-27,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,27,4,Abril,2024,6,Sábado,1
Total general,Total general,Total general,Total general,Total general,2024-04-28 00:00:00,597031,2024-04-28,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,28,4,Abril,2024,7,Domingo,1
Total general,Total general,Total general,Total general,Total general,2024-04-29 00:00:00,1875889,2024-04-29,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,29,4,Abril,2024,1,Lunes,0
Total general,Total general,Total general,Total general,Total general,2024-04-30 00:00:00,1983481,2024-04-30,TOTAL GENERAL,Total general,,Total general,,Total general,,Total general,,,Total general,Desconocido,30,4,Abril,2024,2,Martes,0
